Name,TD,TTTD,HSTD
Aleflight20,0.0,0.0,0.0
Antaris,6.0,6.0,0.0
Avel,252.0,172.0,80.0
BouncyJello,87.0,78.0,9.0
Bramspr,0.0,0.0,0.0
Chesty,3.0,3.0,0.0
DeathSpawned,2.0,2.0,0.0
Dylanlew2,2.0,1.0,1.0
Fenrir,16.0,15.0,1.0
Foxster,48.0,38.0,10.0
Gjeep302,101.0,96.0,5.0
GrandMk,1.0,1.0,0.0
Gucci Garrett,2.0,2.0,0.0
James :),11.0,11.0,0.0
Jamiemac,250.0,172.0,78.0
Jonathan,2.0,0.0,2.0
LC43,4.0,4.0,0.0
Lars Schrier,23.0,20.0,3.0
Mimoskiia,1.0,1.0,0.0
Mountain_Greg,252.0,172.0,80.0
NicoExMachina,1.0,0.0,1.0
OKAR_Spec,24.0,22.0,2.0
Olm842,3.0,0.0,3.0
PelagusPlays,8.0,0.0,8.0
Pinsek,98.0,98.0,0.0
Ryan Monty,155.0,152.0,3.0
SYNO,134.0,128.0,6.0
SanicBuum,3.0,3.0,0.0
Skier50,183.0,172.0,11.0
Susannah,6.0,6.0,0.0
SwampfoxAK,1.0,1.0,0.0
Timmy,0.0,0.0,0.0
eFrostyy,2.0,2.0,0.0
eccentricmonkey146,1.0,1.0,0.0
gonnik,0.0,0.0,0.0
hschindele,205.0,172.0,33.0
magicshack,3.0,3.0,0.0
massiv97,252.0,172.0,80.0
nikolapesic2802,1.0,1.0,0.0
waxton,1.0,1.0,0.0
┴҉ɥ̶́ɐ̶͞͠ʇ̕͡͝𝓸̡̧͜𝓾̶͘ǝ̶̕פ̨͘𝓷̸̛͘ʎ,0.0,0.0,0.0
🍊Koolaid,55.0,42.0,13.0
