Timestamp,Verified?,Link,Name,OS,Mountain,Select TT Challenge.10,Enter time as (sec).(mil) EX: 62.69.10,Select HS Challenge.10,Enter score as just a number.10,Challenge Type.9,Was WR,Unnamed: 69,challenge name,type,score,chaltype
2021-02-04 21:13:11,Yes,https://drive.google.com/open?id=19hk-2g9Uruin5ymvxbMeRW8KhUuSajRm,hschindele,iOS,Hirschalm,,,,,,TRUE,Race,The First Turns,Time trial,27.12,Race
2021-04-02 9:51:22,Yes,https://drive.google.com/open?id=1a1aK7ajlS78hilRvaYAj4K3mYSogwXil,hschindele,iOS,Hirschalm,,,,,,TRUE,Trail,Sightseeing Tour,Time trial,21.87,Trail
2021-01-04 17:34:55,Yes,https://drive.google.com/open?id=1OPjfQVQ48I3-GKSVSxU8OI5JMJsldl5T,hschindele,iOS,Elnakka,,,,,,TRUE,Race,The Perfect Turns,Time trial,13.64,Race
2021-04-08 21:34:02,Yes,https://drive.google.com/open?id=1y51-K8cJXYH9p4Cm9tPz25hmEUGkEoPI,hschindele,iOS,Hirschalm,,,,,,TRUE,Race,The Winding Road,Time trial,36.62,Race
2021-09-24 8:12:31,Yes,https://drive.google.com/open?id=1dEElUXmcDUO4PWIReXiQTlyK5LQmfk0p,hschindele,iOS,Hirschalm,,,,,,TRUE,,The Little Adventure,Time trial,25.6,Race
2022-01-24 13:12:15,Yes,https://drive.google.com/open?id=1wnEA0f2viehBWOGgIa0G4T1IY1on1phG,Avel,iOS,Passo Grolla,,,,,,TRUE,,La Transitions,Time trial,9.08,Trail
2020-12-16 9:35:20,Yes,https://drive.google.com/open?id=1XZvOBV5rlBEtX1_YOhEmH4tZLy3ORYBm,hschindele,iOS,Waldtal,,,,,,TRUE,Race,Selme Valley Race,Time trial,46.94,Race
2021-11-24 12:47:04,Yes,https://drive.google.com/open?id=1O8ojrS89ZccfkiR_gSCGSIrjXz74qHjs,hschindele,iOS,Passo Grolla,,,,,,,,Twisty Rosso,Time trial,27.21,Race
2020-12-18 12:21:12,Yes,https://drive.google.com/open?id=1Sewh1a1EmtyYxaUCM5ge3Zb7sFzQPNqv,hschindele,iOS,Waldtal,,,,,,TRUE,Trail,Little Drops,Time trial,9.96,Trail
2022-02-15 18:05:02,Yes,https://drive.google.com/open?id=1ljC_n62qPkZzpjrXpnv3hrMB6ugEAoT_,hschindele,iOS,Waldtal,,,,,,TRUE,,Gemsgully Whites,Time trial,30.91,Race
