Timestamp,Link,Name,OS,Mountain,Was WR,Unnamed: 64,challenge name,type,score,chaltype
2020-10-20 15:24:33,https://drive.google.com/open?id=1qVP7jhrLXhpGYihhyfrg8d0Vn2I9su4R,hschindele,iOS,Ben Ailig,True,Race,The Swindler,Time Trial,25.43,Race
2020-11-18 15:19:03,https://drive.google.com/open?id=1FMYg2OQ2Zga1ZUe9Y109bVeLxpjUsBIC,hschindele,iOS,Ben Ailig,True,Race,The Swindler,Time Trial,23.88,Race
2020-11-18 15:19:50,https://drive.google.com/open?id=12Fq1NOSnO1C6Jalmz4uk27PPBNedIEHs,hschindele,iOS,Ben Ailig,True,Race,Ailigs Turn,Time Trial,20.63,Race
2020-11-18 15:20:27,https://drive.google.com/open?id=1GjF5Cf6pafONJOdztfXoD9bbjXKs90Hf,hschindele,iOS,Ben Ailig,True,Race,Rocket Rails,Time Trial,23.21,Race
2020-11-18 15:21:22,https://drive.google.com/open?id=1-RyoHocmzZekwMyhEFql4bMS3pEbRBbZ,hschindele,iOS,Ben Ailig,True,Race,Rangers Ground,Time Trial,18.58,Race
2020-11-18 15:22:03,https://drive.google.com/open?id=15J3jV6vASoxqFR0xAjrcCdHurveKly_6,hschindele,iOS,Ben Ailig,True,Race,Rangers Clais,Time Trial,24.79,Race
2020-11-18 15:22:52,https://drive.google.com/open?id=1f3wtxeRb8oHncrBkEOeWxrw_ybVFY34R,hschindele,iOS,Ben Ailig,True,Race,Flower Race,Time Trial,22.46,Race
2020-11-18 15:23:35,https://drive.google.com/open?id=1V9GUzeuRnBlwkpUC4J1Sk__CWaWd4yog,hschindele,iOS,Ben Ailig,True,Race,The Feather Turns,Time Trial,34.35,Race
2020-11-18 15:24:10,https://drive.google.com/open?id=1pREQM0XoI-mpvSTPilTaekw5PHohosys,hschindele,iOS,Ben Ailig,True,Race,Straight Lining,Time Trial,6.99,Race
2020-11-18 15:25:12,https://drive.google.com/open?id=14m1CAbkuRSYWvC7sxCAPosLUsZDH2mcJ,hschindele,iOS,Ben Ailig,True,Trail,The Water Slide,Time Trial,7.71,Trail
