Timestamp,Link,Name,OS,Mountain,Select TT Challenge.10,Enter time as (sec).(mil) EX: 62.69.10,Select HS Challenge.10,Enter score as just a number.10,Challenge Type.9,Was WR,Unnamed: 69,challenge name,type,score,chaltype
2020-12-25 5:06:03,https://drive.google.com/open?id=1MYg0L5k7SM0-rWIsRjPa7ghimwYRUEBM,James :),Android,Mount Fairview,,,,,,TRUE,Race,Grand Mountain Cup I,Time Trial,18.12,Race
2020-12-25 8:51:33,https://drive.google.com/open?id=19VZ2T88Z2l3ir4_cOv8qHIqOEjO8tjKr,hschindele,iOS,Mount Fairview,,,,,,TRUE,Race,Grand Mountain Cup I,Time Trial,18.09,Race
2021-01-26 14:07:28,https://drive.google.com/open?id=1KZEx2AVbj1e-J0Byalg09EPIrboPcFc8,Mountain_Greg,Android,Mount Fairview,,,,,,TRUE,TTB,Serenade Summit Race,Time Trial,44.76,TTB
2021-01-26 14:17:13,https://drive.google.com/open?id=1e78wQArdQyFtcUvgm9L0n9iSVTTkQyRD,hschindele,iOS,Mount Fairview,,,,,,TRUE,Race,Grand Mountain Cup II,Time Trial,31.65,Race
2021-01-26 14:17:47,https://drive.google.com/open?id=1RFT1ruX0ic5klCcTmvCxpRO0-Ux9lPFZ,hschindele,iOS,Mount Fairview,,,,,,TRUE,Race,Grand Mountain Cup III,Time Trial,59.19,Race
2021-01-26 14:18:23,https://drive.google.com/open?id=1pY8MuOdwgZOvC5FatQAWU931feXdd8J7,hschindele,iOS,Mount Fairview,,,,,,TRUE,Race,Beaver Creek Dance,Time Trial,25.97,Race
2021-01-26 14:20:11,https://drive.google.com/open?id=1fdGDekcBeyEyXnEEXxjPKDdp8BYLXKeg,hschindele,iOS,Mount Fairview,,,,,,TRUE,Race,Peregrine Falcon,Time Trial,18.37,Race
2021-01-26 14:20:46,https://drive.google.com/open?id=1w2l5FQ3VXZZiUID0QyJJ9dxcWn10f7OR,hschindele,iOS,Mount Fairview,,,,,,TRUE,Race,Fairview Cloud Line,Time Trial,23.8,Race
2021-01-26 14:21:29,https://drive.google.com/open?id=1LTEUi0NISDPi6KxYIL75HZyMzaKxOzj2,hschindele,iOS,Mount Fairview,,,,,,TRUE,Trail,The Silver Dragon,Time Trial,15.39,Trail
2021-01-26 14:22:07,https://drive.google.com/open?id=1aOTR4VpDE35VlpvnieJ4NmbGWzgfaU2h,hschindele,iOS,Mount Fairview,,,,,,TRUE,Trail,The Buried Path,Time Trial,40.96,Trail
2021-01-26 14:22:40,https://drive.google.com/open?id=1vCiNc6M7T6wUIors6B6G0dB1P0AiJkMj,hschindele,iOS,Mount Fairview,,,,,,TRUE,Trail,The Woodpecker Trail,Time Trial,49.17,Trail
2021-01-26 14:23:14,https://drive.google.com/open?id=1iy_-TzWnaGAx-dV1qpmvFDbKfARzxst2,hschindele,iOS,Mount Fairview,,,,,,TRUE,Trail,Shadows Trail,Time Trial,58.9,Trail
2021-01-26 14:25:27,https://drive.google.com/open?id=1avkxk_kFBWK8FDjmYWy2BbAkN7OcT9ui,hschindele,iOS,Mount Fairview,,,,,,TRUE,TTB,Spinel Crest Race,Time Trial,39.89,TTB
2021-01-26 14:26:06,https://drive.google.com/open?id=1FdvK5ZLKhm6vYSZMAq_LN-rdR5lJT_bz,hschindele,iOS,Mount Fairview,,,,,,TRUE,TTB,Serenade Summit Race,Time Trial,44.72,TTB
2021-01-26 18:26:36,https://drive.google.com/open?id=128gx9dFVi6XYZZyxy4x94LzxDsPQf31I,massiv97,Android,Mount Fairview,,,,,,FALSE,Race,Grand Mountain Cup I,Time Trial,18.24,Race
2021-01-26 18:27:12,https://drive.google.com/open?id=1EgVYnjQTm6C4DlORNIK6B0iVUbihBAbw,massiv97,Android,Mount Fairview,,,,,,TRUE,Trail,The Silver Dragon,Time Trial,15.39,Trail
