Rank,Name,Points
0,hschindele,754464
1,Avel,752800
2,Jamiemac,743100
3,Mountain_Greg,701200
4,massiv97,530100
5,Skier50,460100
6,Ryan Monty,318200
7,SYNO,299200
8,Gjeep302,269800
9,BouncyJello,261000
10,Pinsek,206400
11,Jonathan,117400
12,Fenrir,105222
13,James :),54700
14,Lars Schrier,45578
15,SanicBuum,42400
16,magicshack,42000
17,Olm842,22800
18,Caard,20700
19,CrystalEel13467,20000
20,GSM,20000
21,LC43,19126
22,Wrog,16900
23,PelagusPlays,14270
24,SwampfoxAK,9666
25,DeathSpawned,8731
26,Aleflight20,7530
27,Dylanlew2,5743
28,Bramspr,4495
