Timestamp,Link,Name,OS,Mountain,Was WR,challenge name,type,score,chaltype
2020-11-17 19:22:22,https://drive.google.com/open?id=1q2Rx1sXsIlENNPQm0Ne7tljZVrQcXqgM,hschindele,iOS,Rotkamm,True,Gross Air,Time trial,9.1,Trail
2020-11-17 19:23:27,https://drive.google.com/open?id=1UeAwgYC7NafVJ6jmwB8AJwZ3hw-kbtI0,hschindele,iOS,Rotkamm,True,Sketchy Bears,Time trial,23.28,Trail
2020-11-17 19:24:24,https://drive.google.com/open?id=1YSxqfpJUEHoFR5h1DqqV2LNw7_AhXWMW,hschindele,iOS,Rotkamm,True,Slippery Slope,Time trial,22.69,Trail
2020-11-17 19:25:27,https://drive.google.com/open?id=163RU_XDF242J82_xIAmGL9zWZ1YipZuQ,hschindele,iOS,Rotkamm,True,Precision Drops,Time trial,15.96,Trail
2020-11-17 19:27:36,https://drive.google.com/open?id=1Qn9TY708hZg13Nvkv_iHncG2N5l-XGKs,hschindele,iOS,Rotkamm,True,Staying Between The Stones,Time trial,25.36,Trail
2020-11-19 21:03:09,https://drive.google.com/open?id=1mBrrc3LAg7fsUp28atE4AqjERyF_YATS,BouncyJello,Android,Rotkamm,False,Gross Air,Time trial,10.12,Trail
2020-11-19 21:10:14,https://drive.google.com/open?id=1NDZomjdxpSkTAzoNq8JSDKoiV0MJtXJu,BouncyJello,Android,Rotkamm,False,Staying Between The Stones,Time trial,25.69,Trail
2020-11-19 21:11:04,https://drive.google.com/open?id=1bG9kdKiZsCHb0-3n8-7nYgTlQ3TBxuKI,BouncyJello,Android,Rotkamm,True,Dropping In,Time trial,20.74,Trail
2020-11-19 21:21:19,https://drive.google.com/open?id=1-nH3TWAUv1B2fnth9HqckIC5hTCCLsaA,BouncyJello,Android,Rotkamm,True,Slippery Slope,Time trial,22.6,Trail
2020-11-19 21:28:35,https://drive.google.com/open?id=1QPKnSVhSxb-ZAEs7n2487xYgBHmGHK7Z,BouncyJello,Android,Rotkamm,True,Skipping Icebergs,Time trial,27.88,Trail
2020-11-19 21:29:31,https://drive.google.com/open?id=1vSJJvM9BipvCTBzZz1WidyA7vTvL7K-x,BouncyJello,Android,Rotkamm,True,The Ice Bowl,Time trial,27.63,Race
2020-11-19 21:31:27,https://drive.google.com/open?id=1jySBoB2YPt2cR8BzXqgOr53aNEczUKu3,BouncyJello,Android,Rotkamm,True,The Village Run,Time trial,27.35,Race
2020-11-19 22:04:49,https://drive.google.com/open?id=1ri2rrm_oIzR5UD8iN9lncjmmtRVPdOET,BouncyJello,Android,Rotkamm,False,The Broken Trail,Time trial,40.43,Race
2020-11-19 23:11:21,https://drive.google.com/open?id=1aS4eFlDLJw-b2Enf1JvCS3CBaFW3YRmw,BouncyJello,Android,Rotkamm,True,Precision Drops,Time trial,15.75,Trail
2020-11-20 10:43:03,https://drive.google.com/open?id=1gBtegAjKM0c_-iTFf0bumsMxC54PqW_0,Chesty,iOS,Rotkamm,False,Pilgrim Run,High score,310.0,Distance
2020-11-24 14:33:49,https://drive.google.com/open?id=1N5q3nI1-yqr-oPNB91s3kfTGPffX1jwJ,Shadow,iOS,Rotkamm,False,Gross Air,Time trial,9.31,Trail
2020-11-24 14:34:44,https://drive.google.com/open?id=1rCBnVSftelHOod9rb9vF4OBgHzG0o5HQ,Shadow,iOS,Rotkamm,False,Slippery Slope,Time trial,22.89,Trail
