,Name,score
0,Avel,27.7
1,BouncyJello,28.74
2,Chesty,28.85
3,Fenrir,30.13
4,Gjeep302,27.32
5,Jamiemac,27.67
6,Mountain_Greg,27.47
7,PelagusPlays,29.43
8,Pinsek,28.36
9,Ryan Monty,27.39
10,SYNO,28.08
11,Skier50,27.43
12,eFrostyy,28.41
13,hschindele,27.12
14,massiv97,27.69
15,🍊Koolaid,28.83
0,Avel,26.41
1,BouncyJello,26.93
2,Chesty,26.3
3,Fenrir,26.46
4,Gjeep302,26.35
5,Jamiemac,26.27
6,Mountain_Greg,25.72
7,PelagusPlays,27.59
8,Pinsek,26.35
9,Ryan Monty,26.28
10,SYNO,26.44
11,Shadow,26.46
12,Skier50,26.46
13,Susannah,26.47
14,eFrostyy,26.32
15,hschindele,25.98
16,massiv97,26.36
17,🍊Koolaid,26.59
0,Avel,31.91
1,BouncyJello,33.29
2,Chesty,33.75
3,Fenrir,33.46
4,Gjeep302,30.87
5,Jamiemac,31.43
6,Lars Schrier,33.14
7,Mountain_Greg,31.46
8,PelagusPlays,33.67
9,Pinsek,31.7
10,Ryan Monty,31.41
11,SYNO,31.88
12,Skier50,31.91
13,eFrostyy,33.1
14,hschindele,30.73
15,massiv97,31.73
16,🍊Koolaid,32.51
0,Avel,38.4
1,BouncyJello,37.72
2,Chesty,38.9
3,Fenrir,39.78
4,Gjeep302,38.35
5,Jamiemac,37.3
6,Mountain_Greg,37.78
7,PelagusPlays,40.03
8,Pinsek,38.46
9,Ryan Monty,37.76
10,SYNO,38.41
11,Skier50,38.13
12,eFrostyy,39.31
13,hschindele,36.62
14,massiv97,38.13
0,Avel,19.95
1,BouncyJello,20.0
2,Fenrir,20.63
3,Gjeep302,19.13
4,Jamiemac,19.03
5,Mountain_Greg,19.33
6,PelagusPlays,20.26
7,Pinsek,19.99
8,Ryan Monty,19.69
9,SYNO,19.65
10,Shadow,19.12
11,Skier50,19.99
12,eFrostyy,21.05
13,hschindele,18.73
14,massiv97,18.87
0,Avel,25.94
1,BouncyJello,25.47
2,Fenrir,26.29
3,Gjeep302,25.7
4,Jamiemac,25.63
5,Mountain_Greg,25.85
6,PelagusPlays,27.11
7,Pinsek,25.9
8,Ryan Monty,25.88
9,SYNO,25.91
10,Skier50,25.94
11,eFrostyy,26.55
12,hschindele,25.31
13,massiv97,25.7
0,Avel,24.81
1,BouncyJello,23.29
2,Fenrir,24.83
3,Gjeep302,24.68
4,Jamiemac,24.12
5,Mountain_Greg,23.98
6,PelagusPlays,26.3
7,Pinsek,24.93
8,Ryan Monty,24.33
9,SYNO,24.98
10,Shadow,24.89
11,Skier50,24.98
12,eFrostyy,25.62
13,hschindele,23.96
14,massiv97,23.94
0,Avel,23.34
1,BouncyJello,22.34
2,Fenrir,23.93
3,Gjeep302,23.6
4,Jamiemac,22.09
5,Lars Schrier,23.44
6,Mountain_Greg,22.16
7,PelagusPlays,24.35
8,Pinsek,23.71
9,Ryan Monty,22.84
10,SYNO,23.13
11,Shadow,23.72
12,Skier50,23.71
13,eFrostyy,24.02
14,hschindele,21.87
15,massiv97,22.54
0,Jamiemac,28.68
1,Mountain_Greg,28.71
2,Skier50,28.86
3,hschindele,28.05
4,massiv97,28.97
0,Mountain_Greg,33.66
1,Skier50,35.25
2,hschindele,33.5
0,Mountain_Greg,32.0
1,Skier50,31.56
2,hschindele,31.81
0,Avel,24.49
1,Chesty,24.28
2,Fenrir,25.33
3,Gjeep302,24.22
4,Jamiemac,24.13
5,Mountain_Greg,24.37
6,Pinsek,24.43
7,Ryan Monty,24.3
8,SYNO,24.21
9,Shadow,24.46
10,Skier50,24.38
11,eFrostyy,24.72
12,hschindele,23.76
13,massiv97,24.22
14,waxton,24.54
0,Avel,21.41
1,BouncyJello,21.15
2,Chesty,21.85
3,Fenrir,21.92
4,Gjeep302,21.42
5,Jamiemac,21.22
6,Mountain_Greg,21.24
7,Pinsek,21.41
8,Ryan Monty,21.06
9,SYNO,21.48
10,Shadow,21.26
11,Skier50,21.33
12,eFrostyy,21.83
13,hschindele,20.89
14,massiv97,21.38
0,Antaris,31.21
1,Avel,31.39
2,Chesty,31.73
3,Fenrir,31.55
4,Gjeep302,31.32
5,Jamiemac,31.11
6,Mountain_Greg,31.15
7,Pinsek,31.4
8,Ryan Monty,31.32
9,SYNO,31.41
10,Shadow,31.19
11,Skier50,31.29
12,Timmy,31.93
13,eFrostyy,31.66
14,gonnik,32.04
15,hschindele,30.96
16,massiv97,31.41
0,Avel,50.82
1,BouncyJello,50.46
2,Chesty,51.17
3,Fenrir,52.96
4,Gjeep302,50.17
5,Jamiemac,49.81
6,LC43,51.19
7,Mountain_Greg,49.92
8,Pinsek,50.56
9,Ryan Monty,49.87
10,SYNO,50.47
11,Skier50,50.66
12,eFrostyy,51.52
13,hschindele,49.3
14,massiv97,50.45
0,Avel,37.39
1,BouncyJello,37.27
2,Fenrir,38.3
3,Gjeep302,37.32
4,Jamiemac,36.95
5,Mountain_Greg,37.26
6,Pinsek,37.28
7,Ryan Monty,37.13
8,SYNO,37.45
9,Shadow,37.46
10,Skier50,37.35
11,eFrostyy,37.67
12,hschindele,36.64
13,massiv97,37.19
0,Antaris,13.98
1,Avel,13.94
2,BouncyJello,13.81
3,Fenrir,14.0
4,Gjeep302,13.92
5,Jamiemac,13.62
6,Mountain_Greg,13.94
7,Pinsek,13.96
8,Ryan Monty,13.89
9,SYNO,13.96
10,Shadow,13.94
11,Skier50,13.93
12,eFrostyy,14.03
13,hschindele,13.51
14,massiv97,13.87
0,Avel,48.34
1,BouncyJello,47.57
2,Fenrir,52.37
3,Gjeep302,48.34
4,Jamiemac,47.67
5,Mountain_Greg,47.1
6,Pinsek,48.44
7,Ryan Monty,48.24
8,SYNO,47.05
9,Skier50,48.48
10,eFrostyy,50.09
11,hschindele,46.94
12,massiv97,47.77
0,Jamiemac,17.98
1,Mountain_Greg,17.96
2,Skier50,17.86
3,hschindele,17.81
4,massiv97,17.98
0,Avel,8.86
1,Fenrir,9.8
2,Gjeep302,9.02
3,Jamiemac,8.92
4,Mountain_Greg,9.1
5,Pinsek,9.14
6,Ryan Monty,8.88
7,SYNO,9.1
8,Skier50,9.14
9,eFrostyy,10.16
10,hschindele,8.51
11,massiv97,9.12
0,Avel,14.56
1,BouncyJello,14.0
2,Fenrir,14.74
3,Gjeep302,14.49
4,Jamiemac,14.24
5,Mountain_Greg,14.38
6,Pinsek,14.51
7,Ryan Monty,14.41
8,SYNO,14.53
9,Skier50,14.53
10,eFrostyy,15.45
11,hschindele,13.95
12,massiv97,14.43
0,Avel,14.05
1,BouncyJello,13.77
2,Fenrir,14.67
3,Gjeep302,14.17
4,Jamiemac,13.78
5,Mountain_Greg,13.87
6,Pinsek,14.13
7,Ryan Monty,14.15
8,SYNO,14.16
9,Shadow,13.68
10,Skier50,14.03
11,eFrostyy,15.33
12,hschindele,13.31
13,massiv97,13.91
0,Avel,11.43
1,Fenrir,11.28
2,Gjeep302,11.28
3,Jamiemac,10.92
4,Lars Schrier,11.11
5,Mountain_Greg,10.91
6,Pinsek,11.33
7,Ryan Monty,11.08
8,SYNO,10.9
9,Skier50,11.41
10,SwampfoxAK,11.78
11,eFrostyy,12.39
12,hschindele,10.61
13,massiv97,11.27
0,Avel,18.26
1,BouncyJello,17.94
2,Fenrir,18.26
3,Gjeep302,18.37
4,Jamiemac,17.66
5,Lars Schrier,18.22
6,Mountain_Greg,17.95
7,Pinsek,18.04
8,Ryan Monty,18.19
9,SYNO,17.9
10,Shadow,17.98
11,Skier50,18.05
12,eFrostyy,19.91
13,hschindele,17.54
14,massiv97,17.9
0,Avel,12.44
1,BouncyJello,10.15
2,Fenrir,11.7
3,Gjeep302,10.55
4,Jamiemac,10.43
5,Lars Schrier,10.28
6,Mountain_Greg,10.52
7,Pinsek,10.56
8,Ryan Monty,10.44
9,SYNO,10.67
10,Skier50,10.45
11,eFrostyy,12.65
12,gonnik,16.69
13,hschindele,9.96
14,massiv97,10.59
0,Avel,26.27
1,Fenrir,28.99
2,Gjeep302,25.56
3,Jamiemac,25.81
4,Mountain_Greg,24.65
5,Pinsek,26.24
6,Ryan Monty,24.02
7,SYNO,26.19
8,Skier50,26.09
9,eFrostyy,28.6
10,hschindele,23.88
11,massiv97,25.86
0,Avel,13.09
1,BouncyJello,12.66
2,Fenrir,15.16
3,Gjeep302,11.85
4,Jamiemac,12.34
5,LC43,13.48
6,Lars Schrier,12.64
7,Mountain_Greg,12.21
8,Pinsek,13.22
9,Ryan Monty,12.02
10,SYNO,13.11
11,Skier50,13.16
12,eFrostyy,17.83
13,hschindele,11.44
14,massiv97,13.14
0,Avel,61.06
1,BouncyJello,59.95
2,Fenrir,64.64
3,Gjeep302,61.14
4,Jamiemac,55.06
5,Mountain_Greg,56.14
6,Pinsek,61.79
7,Ryan Monty,61.92
8,SYNO,60.26
9,Skier50,61.7
10,eFrostyy,63.62
11,hschindele,54.43
12,massiv97,61.86
13,nikolapesic2802,61.87
0,Antaris,27.43
1,Avel,26.69
2,BouncyJello,26.77
3,Fenrir,27.97
4,Gjeep302,26.76
5,Jamiemac,26.56
6,LC43,27.23
7,Mountain_Greg,26.6
8,Pinsek,27.16
9,Ryan Monty,26.38
10,SYNO,26.38
11,Skier50,27.46
12,hschindele,26.28
13,massiv97,26.33
0,Antaris,14.38
1,Avel,14.03
2,Fenrir,14.25
3,Gjeep302,14.06
4,Jamiemac,13.93
5,Mountain_Greg,13.98
6,Pinsek,14.21
7,Ryan Monty,13.98
8,SYNO,13.88
9,Skier50,14.09
10,hschindele,13.64
11,massiv97,14.03
0,Avel,33.87
1,BouncyJello,33.69
2,Fenrir,34.5
3,Gjeep302,33.89
4,Jamiemac,33.66
5,Mountain_Greg,33.74
6,Pinsek,33.97
7,Ryan Monty,33.92
8,SYNO,33.97
9,Skier50,33.96
10,hschindele,33.58
11,massiv97,33.77
0,Avel,36.94
1,BouncyJello,36.64
2,Fenrir,37.1
