Rank,Name,Points
0,Avel,1366723
1,Jamiemac,1237096
2,Mountain_Greg,1093681
3,massiv97,976918
4,hschindele,453235
5,🍊Koolaid,176089
6,BouncyJello,164218
7,Foxster,149764
8,Skier50,147335
9,Olm842 ,134672
10,PelagusPlays,115126
11,Jonathan,113489
12,Gjeep302,103658
13,Olm842,90557
14,SYNO,82367
15,Lars Schrier,50276
16,Ryan Monty,47349
17,Fenrir,38562
18,Caard,38235
19,The Book,19038
20,Cmt_52,15469
21,Bramspr,14072
22,NicoExMachina,12361
23,Dylanlew2,10787
24,James :),9980
25,DeathSpawned,8383
26,Chesty,7305
27,Gucci Garrett,7266
28,ThomasMathews,6631
29,eFrostyy,5038
30,SwampfoxAK,4575
31,┴҉ɥ̶́ɐ̶͞͠ʇ̕͡͝𝓸̡̧͜𝓾̶͘ǝ̶̕פ̨͘𝓷̸̛͘ʎ,9
