Rank,Name,Points
0,hschindele,4690797
1,Mountain_Greg,4168451
2,Jamiemac,3958285
3,Skier50,3419400
4,massiv97,3190681
5,SYNO,2814996
6,Ryan Monty,2625246
7,BouncyJello,2087886
8,Avel,1866593
9,Gjeep302,1734965
10,Pinsek,1230044
11,Fenrir,1082838
12,Lars Schrier,485162
13,Shadow,328044
14,James :),299968
15,eFrostyy,215912
16,DeathSpawned,147276
17,Bramspr,121086
18,Chesty,105799
19,LC43,100858
20,PelagusPlays,95268
21,Antaris,81366
22,Dylanlew2,65371
23,SwampfoxAK,63761
24,magicshack,56563
25,waxton,31839
26,GrandMk,29899
27,🍊Koolaid,27582
28,Gucci Garrett,22100
29,eccentricmonkey146,14099
30,nikolapesic2802,11300
31,Susannah,10300
32,Bringstmanuoane,10001
33,Aleflight20,7530
34,Timmy,6532
35,gonnik,6229
36,Foxster,0
37,┴҉ɥ̶́ɐ̶͞͠ʇ̕͡͝𝓸̡̧͜𝓾̶͘ǝ̶̕פ̨͘𝓷̸̛͘ʎ,0
