Rank,Name,Points
0,hschindele,4937522
1,Mountain_Greg,4135015
2,Jamiemac,3900417
3,Avel,3820118
4,Skier50,2655312
5,massiv97,2638420
6,Ryan Monty,2534617
7,SYNO,2128260
8,BouncyJello,1593273
9,Gjeep302,1519500
10,Pinsek,1227471
11,Fenrir,775642
12,🍊Koolaid,557666
13,Foxster,454778
14,Lars Schrier,397839
15,Caard,279486
16,Jonathan,230194
17,James :),187695
18,eFrostyy,161023
19,GSM,146494
20,Susannah,137003
21,SanicBuum,120097
22,LC43,100858
23,CrystalEel13467,95900
24,Chesty,90752
25,Antaris,74754
26,PelagusPlays,67757
27,SwampfoxAK,52346
28,magicshack,41999
29,DeathSpawned,35299
30,waxton,31839
31,Gucci Garrett,29913
32,GrandMk,29899
33,TheNameless,26299
34,Wrog,21398
35,Dylanlew2,19643
36,eccentricmonkey146,14099
37,Skihero,12399
38,nikolapesic2802,11300
39,Olm842,11000
40,Mimoskiia,10599
41,Aleflight20,7530
42,Libertarian Scofflaw,7081
43,Timmy,6532
44,gonnik,6229
45,Bramspr,4495
