Timestamp,Link,Name,OS,Mountain,Was WR,challenge name,type,score,chaltype
2021-02-26 01:01:24,https://drive.google.com/open?id=1XpRZp9x5qYaczTmyAkFvbqY64amJP97A,Ryan Monty,Android,Waldtal,False,Selme Valley Race,Time trial,48.24,Race
2020-03-31 03:21:08,https://drive.google.com/open?id=17PVGedwa7trRZmO8WMWb9_qhSG3f6avC,Lars Schrier,iOS,Waldtal,True,Little Drops,Time trial,12.29,Trail
2021-01-01 12:47:34,https://drive.google.com/open?id=1XQmIgdpzyUqZx6VIvJCG9WfUHkFfNRvz,Antaris,iOS,Waldtal,False,Gemsgully Whites,Time trial,31.21,Race
2020-09-26 20:59:23,https://drive.google.com/open?id=1mr-fbqNSa67nq4ZD-a-IH8k674LGytr0,hschindele,iOS,Waldtal,False,Waldhorn Voyage,Time trial,62.43,TTB
2020-11-14 21:04:49,https://drive.google.com/open?id=15XciavUAfZooQEHHcJdRnThQ3rekHhYQ,hschindele,iOS,Waldtal,True,The Woodland Track,Time trial,20.89,Race
2020-11-14 21:06:12,https://drive.google.com/open?id=1t67yWoOnQmSqYBhbwj5CX1VJpXjGQv5W,hschindele,iOS,Waldtal,True,Gemsgully Whites,Time trial,30.96,Race
2020-11-18 16:15:01,https://drive.google.com/open?id=1wN1AAhBBBrwlJ2ye-KSpL6PWZcLTg81q,hschindele,iOS,Waldtal,True,Waldhorn Voyage,Time trial,61.7,TTB
2020-11-19 19:13:01,https://drive.google.com/open?id=1yrs55yqE0lIvjTDeNh4-AGSFK6WdXXyY,Chesty,iOS,Waldtal,False,Gemsgully Whites,Time trial,31.73,Race
2020-11-19 19:50:01,https://drive.google.com/open?id=1gJrMdd9eU26OLejJQv7fCCHXvgVvK0RQ,Chesty,iOS,Waldtal,True,Waldhorn Slopestyle,High score,12798.0,Gated Trick
2020-11-19 20:04:19,https://drive.google.com/open?id=1EcuZIrGCtO0Ej9OrZR5KzAr9MZZ1Tzqt,SYNO,iOS,Waldtal,True,Waldhorn Slopestyle,High score,35353.0,Gated Trick
2020-11-19 20:20:06,https://drive.google.com/open?id=1YikXLvbqCwzYrhZpT3iDUpQwFm73nKo5,Chesty,iOS,Waldtal,False,Peak To Valley Run,Time trial,51.17,Race
2020-11-19 20:29:00,https://drive.google.com/open?id=1MSAj6rsRkzOOhX2wd1kdcEZYyt47k9M7,SYNO,iOS,Waldtal,True,The Woodland Slalom,Time trial,24.21,Race
2020-11-19 20:33:33,https://drive.google.com/open?id=1feV-hb_ivOLcyfz5zqBIThlnQg9CAHNc,Chesty,iOS,Waldtal,False,The Woodland Track,Time trial,21.85,Race
2020-11-19 21:10:25,https://drive.google.com/open?id=17jRmQFfPUozJmLMV_-PV-G7OF1q-b9dR,hschindele,iOS,Waldtal,True,The Woodland Slalom,Time trial,23.99,Race
2020-11-19 21:55:50,https://drive.google.com/open?id=1l58DG9g40IcbzbYljuRdbF04zRV1l5iw,BouncyJello,Android,Waldtal,True,Selme Valley Race,Time trial,47.57,Race
2020-11-19 21:57:01,https://drive.google.com/open?id=15l4bhFTy6Nr7uJMaNMoIp0gh81u-9OK7,BouncyJello,Android,Waldtal,True,The Fork,High score,372.3,Distance
2020-11-19 23:12:05,https://drive.google.com/open?id=130_SpOCszSzNA7q3-5Oo4bUt0AnR1pc0,BouncyJello,Android,Waldtal,False,The Fatal Drops,Time trial,12.66,Trail
2020-11-19 23:14:05,https://drive.google.com/open?id=1_LnBO5pzfhxxP8il5PBKw23q-OiufceK,BouncyJello,Android,Waldtal,True,The Crowd Pleaser,Time trial,13.77,Trail
2020-11-19 23:14:58,https://drive.google.com/open?id=10CWkz8ZittMZHtLNEq4YEeSeNuih5oBF,BouncyJello,Android,Waldtal,True,Woodland Deep Trail,Time trial,14.0,Trail
2020-11-19 23:15:59,https://drive.google.com/open?id=1a-UUp4fTSzL6ahvzI1SK8RuFEDX0Ln0C,BouncyJello,Android,Waldtal,True,The Siriside Slalom,Time trial,13.87,Race
2020-11-19 23:16:54,https://drive.google.com/open?id=1NJQQrmGGvN-jm9MZEDg6hw-hzL4o8fV4,BouncyJello,Android,Waldtal,True,Selme Narrows,Time trial,37.27,Race
2020-11-19 23:39:45,https://drive.google.com/open?id=1iOatMa7K2pm4ObfS-rhKJZ2q8mKL2xgL,BouncyJello,Android,Waldtal,True,Waldhorn Voyage,Time trial,59.95,TTB
2020-11-20 08:15:38,https://drive.google.com/open?id=1W769aiRy8hXMV3WNM6XhlDa_RW-LU7fr,SYNO,iOS,Waldtal,False,Gemsgully Whites,Time trial,31.41,Race
2020-11-20 08:32:01,https://drive.google.com/open?id=10fio3r_XMFVMFn9GgYp3yrdqIjF27pSJ,SYNO,iOS,Waldtal,False,Peak To Valley Run,Time trial,50.98,Race
2020-11-20 08:35:22,https://drive.google.com/open?id=1jVdENl0C_A5nUI31ASUgL1pWOs0uAHkv,SYNO,iOS,Waldtal,False,Selme Narrows,Time trial,37.45,Race
2020-11-20 08:38:16,https://drive.google.com/open?id=1XQR9iEbzyrjZUyzen59cQsF_YQUvzxj2,SYNO,iOS,Waldtal,False,The Siriside Slalom,Time trial,13.96,Race
2020-11-20 09:07:47,https://drive.google.com/open?id=15IG8sW3xyPiztie1_4v-YyJwhAggv4tE,SYNO,iOS,Waldtal,False,Woodland Deep Trail,Time trial,14.53,Trail
2020-11-20 09:15:00,https://drive.google.com/open?id=1ztEyWRbrX2Ecfkida3-Wa40_APvhUaLu,SYNO,iOS,Waldtal,False,The Crowd Pleaser,Time trial,14.16,Trail
2020-11-23 19:01:17,https://drive.google.com/open?id=1j_BZJZF9p_OVItoqHVMtvC1EP54P_Zyt,Shadow,iOS,Waldtal,False,The Siriside Slalom,Time trial,13.94,Race
2020-11-24 12:10:09,https://drive.google.com/open?id=17s60xmXTyslDI18nlwyO5eDVXGdv8Wz9,Shadow,iOS,Waldtal,True,The Crowd Pleaser,Time trial,13.68,Trail
2020-11-24 12:37:27,https://drive.google.com/open?id=1JUhINbGrXWBeMlKgdc-H-UmZcIgZtjNw,hschindele,iOS,Waldtal,True,The Crowd Pleaser,Time trial,13.31,Trail
2020-11-24 14:01:23,https://drive.google.com/open?id=1VaPn-OMD2-bBtNJnl_EdWGNhvlC-bDVh,Shadow,iOS,Waldtal,False,The Big Kicker,Time trial,17.98,Trail
2020-11-24 14:53:40,https://drive.google.com/open?id=1vH5S3MrSC-VesGT52kumlrtPTchnC9nn,Shadow,iOS,Waldtal,False,Selme Narrows,Time trial,37.46,Race
2020-11-24 15:07:16,https://drive.google.com/open?id=1blKbFhm9fyBM3DZWfTurcqMLZ0vQBBzt,hschindele,iOS,Waldtal,True,The Big Kicker,Time trial,17.54,Trail
2020-11-24 15:11:17,https://drive.google.com/open?id=1IZeRWpNctdyn_R9MTemPqe9zYPyCYUo5,Shadow,iOS,Waldtal,False,Gemsgully Whites,Time trial,31.19,Race
2020-11-24 15:12:09,https://drive.google.com/open?id=1Nyqo7kWzg--C2byUgNOS2e8Z5ZNHjdZE,Shadow,iOS,Waldtal,False,The Woodland Slalom,Time trial,24.46,Race
2020-11-24 15:12:47,https://drive.google.com/open?id=17UHoHCRXqSnHBO-VvhpyBAFBTpCZsV3f,Shadow,iOS,Waldtal,False,The Woodland Track,Time trial,21.26,Race
2020-11-30 17:56:50,https://drive.google.com/open?id=1JqiXnuCIAercHfZ2jusSSiQ0D7x6jFsO,waxton,Android,Waldtal,False,The Woodland Slalom,Time trial,24.54,Race
2020-12-06 15:59:46,https://drive.google.com/open?id=1RQeKtfQUjpVlkggrffResoUEKQgdaWux,Timmy,Android,Waldtal,False,Gemsgully Whites,Time trial,31.93,Race
2020-12-14 16:40:42,https://drive.google.com/open?id=1mAS4N4w1BAjZRYtd5xaOK9sw3R9QybdR,hschindele,iOS,Waldtal,True,The Siriside Slalom,Time trial,13.86,Race
2020-12-14 17:05:17,https://drive.google.com/open?id=1UWw8QpJy_vQehO-hknMTi14WnME6kjR9,BouncyJello,Android,Waldtal,True,The Siriside Slalom,Time trial,13.84,Race
2020-12-15 10:08:04,https://drive.google.com/open?id=1P3e0KLPh_YFLf5XExrZbEB8qhBRGwIJi,BouncyJello,Android,Waldtal,True,The Siriside Slalom,Time trial,13.83,Race
2020-12-15 12:07:29,https://drive.google.com/open?id=1qPs7I0_IB-7ktB7RFVge9iiSu2Gzf21p,BouncyJello,Android,Waldtal,True,The Siriside Slalom,Time trial,13.82,Race
2020-12-15 23:46:10,https://drive.google.com/open?id=1WsdvDu-41vQNdIVJ9fU0aaWq8EPdSzHS,Chesty,iOS,Waldtal,False,The Woodland Slalom,Time trial,24.28,Race
2020-12-16 09:35:20,https://drive.google.com/open?id=1XZvOBV5rlBEtX1_YOhEmH4tZLy3ORYBm,hschindele,iOS,Waldtal,True,Selme Valley Race,Time trial,46.94,Race
2020-12-16 09:36:21,https://drive.google.com/open?id=1f0ZAoJUdoSEw5Fu6BrOmzX9YGkbo1MRg,hschindele,iOS,Waldtal,False,The Siriside Slalom,Time trial,13.83,Race
2020-12-17 16:19:17,https://drive.google.com/open?id=1CVXUWKUxg5Te8K8LBUmzM743r4vnu9Lj,hschindele,iOS,Waldtal,True,Waldhorn Voyage,Time trial,56.95,TTB
2020-12-17 22:26:42,https://drive.google.com/open?id=1X7JWojCo9G5nXgzvmNwy0rXUNfMmVAG1,hschindele,iOS,Waldtal,True,The Fatal Drops,Time trial,11.44,Trail
2020-12-17 22:47:24,https://drive.google.com/open?id=1zNFuS7cR-RNiTW1Foka96j4L-tCQu8Gu,hschindele,iOS,Waldtal,True,The Three Trees,Time trial,10.99,Trail
2020-12-18 08:51:08,https://drive.google.com/open?id=1H2pCLS-dsy1e1ZazixvaiaatELNN62A5,hschindele,iOS,Waldtal,True,A Balancing Act,Time trial,24.88,Trail
2020-12-18 12:21:12,https://drive.google.com/open?id=1Sewh1a1EmtyYxaUCM5ge3Zb7sFzQPNqv,hschindele,iOS,Waldtal,True,Little Drops,Time trial,9.96,Trail
2020-12-18 17:10:31,https://drive.google.com/open?id=1gqqlYnoIY5_GCO9VQ0xtrRcCHhe5Kxpm,hschindele,iOS,Waldtal,True,Woodland Deep Trail,Time trial,13.95,Trail
2020-12-18 22:08:33,https://drive.google.com/open?id=1v-z5AAsO8Pdj8D2SlfhATB3uPgcwFemZ,hschindele,iOS,Waldtal,True,Selme Narrows,Time trial,36.98,Race
2020-12-18 22:38:29,https://drive.google.com/open?id=1R7nrA3dfyeGyMtZvOlBY9vPStgvSyUdk,hschindele,iOS,Waldtal,True,The Woodland Slalom,Time trial,23.76,Race
2020-12-19 12:31:58,https://drive.google.com/open?id=1LSA6umZotsEC-Lfda_tukJS4Z6_8a_SP,hschindele,iOS,Waldtal,True,Peak To Valley Run,Time trial,49.3,Race
2020-12-30 14:55:51,https://drive.google.com/open?id=1d2OpSD6cTO7_YL_3gUnW6nLQlgBgXhD2,SYNO,iOS,Waldtal,True,Waldhorn Slopestyle,High score,42668.0,Gated Trick
