Rank,Name,Points
0,hschindele,522300
1,Avel,453100
2,Mountain_Greg,450200
3,Jamiemac,413000
4,Gjeep302,291700
5,massiv97,265400
6,Ryan Monty,243800
7,SYNO,235600
8,🍊Koolaid,232650
9,Skier50,223300
10,BouncyJello,200600
11,Pinsek,188600
12,Foxster,180400
13,Fenrir,126267
14,eFrostyy,100602
15,Caard,99000
16,CrystalEel13467,95900
17,GSM,65600
18,Lars Schrier,60000
19,Susannah,51724
20,Olm842,43400
21,Chesty,36773
22,TheNameless,26300
23,Antaris,24100
24,LC43,19686
25,PelagusPlays,14500
26,Jonathan,13000
27,nikolapesic2802,11300
28,Dylanlew2,10800
29,waxton,9726
30,Libertarian Scofflaw,7081
31,SwampfoxAK,6783
32,Timmy,6532
33,gonnik,6229
34,Bramspr,5217
