Rank,Name,Points
0,hschindele,463493
1,Mountain_Greg,390389
2,Avel,386488
3,Jamiemac,360593
4,Gjeep302,271687
5,Ryan Monty,243790
6,SYNO,224492
7,massiv97,219494
8,Skier50,212994
9,🍊Koolaid,192791
10,Pinsek,188591
11,BouncyJello,184191
12,Foxster,147590
13,Fenrir,115965
14,Caard,98994
15,CrystalEel13467,95900
16,eFrostyy,95564
17,Lars Schrier,59999
18,Susannah,51724
19,Chesty,36772
20,TheNameless,26299
21,Antaris,24098
22,LC43,19685
23,Jonathan,13000
24,nikolapesic2802,11300
25,waxton,9726
26,Libertarian Scofflaw,7081
27,SwampfoxAK,6783
28,Timmy,6532
29,gonnik,6229
